City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Axim,GH,2022-01-25 18:59:49,4.8699,-2.2405,80.26,79,0,8.05
162,Kloulklubed,PW,2022-01-25 18:59:49,7.0419,134.2556,82.63,76,94,21.9
163,Andenes,NO,2022-01-25 18:59:50,69.3143,16.1194,30.18,74,75,23.02
164,Ixtapa,MX,2022-01-25 18:57:35,20.7,-105.2,85.26,39,9,7.36
165,Luwuk,ID,2022-01-25 18:59:51,-0.9516,122.7875,78.13,84,75,3.2
166,Lebu,CL,2022-01-25 18:59:51,-37.6167,-73.65,64.8,69,0,14.97
167,Omsukchan,RU,2022-01-25 18:59:52,62.5333,155.8,-24.09,99,100,3.53
168,Tigil,RU,2022-01-25 18:59:52,57.8,158.6667,-17.03,100,98,1.25
169,Tabas,IR,2022-01-25 18:59:53,33.5959,56.9244,48.24,28,0,1.74
170,Mehamn,NO,2022-01-25 18:59:53,71.0357,27.8492,32.18,69,100,31.34
171,Santa Rosa,PH,2022-01-25 18:59:54,14.3122,121.1114,79.11,71,100,11.3
172,Aykhal,RU,2022-01-25 18:59:54,66.0,111.5,1.42,93,100,5.53
173,Tessalit,ML,2022-01-25 18:59:55,20.1986,1.0114,68.18,15,99,10.25
174,Tuktoyaktuk,CA,2022-01-25 18:59:55,69.4541,-133.0374,28.4,93,100,19.57
175,Filingue,NE,2022-01-25 18:59:56,14.3521,3.3168,72.39,11,0,10.25
176,Tabory,RU,2022-01-25 18:59:56,58.5198,64.5495,10.71,95,74,4.92
177,Petropavlovsk-Kamchatskiy,RU,2022-01-25 18:59:57,53.0452,158.6483,-3.23,78,0,8.95
178,Kodiak,US,2022-01-25 18:59:57,57.79,-152.4072,28.89,67,13,6.08
179,Puerto Ayora,EC,2022-01-25 18:59:58,-0.7393,-90.3518,84.16,76,76,8.77
180,Mahebourg,MU,2022-01-25 18:55:07,-20.4081,57.7,77.29,69,40,14.97
181,Georgetown,MY,2022-01-25 18:55:30,5.4112,100.3354,80.53,93,20,3.0
182,Cap Malheureux,MU,2022-01-25 18:59:59,-19.9842,57.6142,77.49,68,66,3.0
183,Kovur,IN,2022-01-25 18:59:59,14.4833,79.9833,74.86,76,93,5.77
184,Dandong,CN,2022-01-25 19:00:00,40.1292,124.3947,22.19,54,0,6.11
185,Timizart,DZ,2022-01-25 19:01:00,36.8,4.2667,47.44,69,0,7.67
186,Bengkulu,ID,2022-01-25 19:01:01,-3.8004,102.2655,77.58,84,100,3.76
187,Guasdualito,VE,2022-01-25 19:01:02,7.2424,-70.7324,93.2,38,100,9.22
188,Meadow Lake,US,2022-01-25 19:00:47,34.8014,-106.5436,54.57,27,78,7.78
189,Ribeira Grande,PT,2022-01-25 19:01:03,38.5167,-28.7,63.0,67,40,4.61
190,Torbay,CA,2022-01-25 19:01:03,47.6666,-52.7314,32.76,86,97,8.01
191,Northam,GB,2022-01-25 19:01:04,51.0333,-4.2167,43.02,86,100,3.24
192,Marsa Matruh,EG,2022-01-25 19:01:05,31.3525,27.2453,51.71,59,99,17.49
193,Paka,MY,2022-01-25 19:01:05,4.6374,103.4368,75.49,87,99,5.32
194,Esperance,AU,2022-01-25 19:01:06,-33.8667,121.9,62.44,83,100,14.03
195,Adeje,ES,2022-01-25 19:01:06,28.1227,-16.726,63.7,60,20,12.66
196,Bluff,NZ,2022-01-25 19:01:07,-46.6,168.3333,54.81,90,100,9.86
197,Batagay-Alyta,RU,2022-01-25 19:01:07,67.8006,130.4114,-10.71,91,100,1.86
198,Tiksi,RU,2022-01-25 19:01:08,71.6872,128.8694,-7.74,95,100,8.99
199,Fairbanks,US,2022-01-25 18:56:52,64.8378,-147.7164,21.2,75,100,4.0
200,Narsaq,GL,2022-01-25 19:01:09,60.9167,-46.05,25.02,75,100,11.16
201,Margate,GB,2022-01-25 19:01:10,51.3813,1.3862,37.69,82,100,3.0
202,Longyearbyen,SJ,2022-01-25 19:01:10,78.2186,15.6401,17.44,67,75,14.97
203,Dongsheng,CN,2022-01-25 19:00:30,39.8161,109.9776,16.81,55,100,3.42
204,Pevek,RU,2022-01-25 19:01:11,69.7008,170.3133,-21.87,99,100,2.01
205,Shetpe,KZ,2022-01-25 19:01:12,44.1667,52.1167,35.62,96,77,8.32
206,Rawson,AR,2022-01-25 19:01:13,-43.3002,-65.1023,68.23,52,0,18.7
207,Saldanha,ZA,2022-01-25 19:01:13,-33.0117,17.9442,63.57,84,0,23.53
208,San Vicente De Canete,PE,2022-01-25 19:01:14,-13.0751,-76.3835,76.03,73,56,8.84
209,Xinan,CN,2022-01-25 19:01:14,26.72,119.8556,52.5,92,100,2.66
210,Laguna,US,2022-01-25 19:01:15,38.421,-121.4238,63.64,74,0,1.99
211,Kankan,GN,2022-01-25 19:01:15,10.3854,-9.3057,81.43,12,100,4.68
212,Pochutla,MX,2022-01-25 19:01:16,15.7432,-96.4661,87.82,34,0,11.1
213,Hasaki,JP,2022-01-25 19:01:17,35.7333,140.8333,37.8,89,100,13.71
214,Tupik,RU,2022-01-25 19:01:17,54.4253,119.9327,-16.98,99,69,2.04
215,Tocopilla,CL,2022-01-25 19:01:18,-22.092,-70.1979,72.34,65,23,9.37
216,Kralendijk,BQ,2022-01-25 19:01:18,12.15,-68.2667,79.16,72,100,18.1
217,Te Anau,NZ,2022-01-25 19:01:19,-45.4167,167.7167,48.65,86,27,1.7
218,Rocha,UY,2022-01-25 19:01:19,-34.4833,-54.3333,85.89,63,99,4.27
219,Gigmoto,PH,2022-01-25 19:01:20,13.7796,124.39,77.4,91,100,10.13
220,Victoria,HK,2022-01-25 18:57:45,22.2855,114.1577,67.17,87,100,5.99
221,Blagoyevo,RU,2022-01-25 19:01:21,63.3667,47.9167,19.92,93,100,8.41
222,Tabou,CI,2022-01-25 19:01:21,4.423,-7.3528,79.5,78,2,6.85
223,Itoman,JP,2022-01-25 19:01:22,26.1247,127.6694,62.62,72,94,5.75
224,Ghanzi,BW,2022-01-25 19:01:22,-21.5667,21.7833,74.68,47,100,3.11
225,Atar,MR,2022-01-25 19:01:23,20.5169,-13.0499,76.44,20,100,4.79
226,Makakilo City,US,2022-01-25 19:02:24,21.3469,-158.0858,75.29,74,84,13.31
227,Fort Nelson,CA,2022-01-25 18:58:34,58.8053,-122.7002,18.99,86,75,3.44
228,Nenjiang,CN,2022-01-25 19:02:25,49.1833,125.2167,-8.84,100,98,1.41
229,La Ronge,CA,2022-01-25 19:00:49,55.1001,-105.2842,4.77,76,100,10.45
230,Madang,PG,2022-01-25 19:02:26,-5.2246,145.7966,76.32,92,80,4.16
231,Necochea,AR,2022-01-25 19:02:26,-38.5473,-58.7368,80.96,68,47,14.94
232,Kahului,US,2022-01-25 18:59:36,20.8947,-156.47,72.97,83,19,5.99
233,Tres Coracoes,BR,2022-01-25 19:02:27,-21.6969,-45.2533,79.66,61,49,5.5
234,New Norfolk,AU,2022-01-25 19:02:28,-42.7826,147.0587,60.3,73,100,2.06
235,Westport,US,2022-01-25 18:58:48,41.1415,-73.3579,43.05,63,94,3.0
236,Qui Nhon,VN,2022-01-25 19:02:28,13.7667,109.2333,73.26,89,14,5.08
237,Pisco,PE,2022-01-25 19:02:29,-13.7,-76.2167,76.01,74,9,10.54
238,Vila Velha,BR,2022-01-25 19:02:04,-20.3297,-40.2925,81.95,76,13,1.01
239,Codrington,AU,2022-01-25 19:02:30,-38.2667,141.9667,67.93,61,6,8.12
240,Sete,FR,2022-01-25 19:02:30,43.4018,3.6966,46.94,77,0,4.83
241,Kerouane,GN,2022-01-25 19:02:31,9.2667,-9.0167,80.42,15,6,3.78
242,Buchanan,LR,2022-01-25 19:02:31,5.8808,-10.0467,84.16,73,7,7.31
243,Invermere,CA,2022-01-25 19:00:44,50.5167,-116.0354,24.37,91,97,1.21
244,Jalu,LY,2022-01-25 19:02:32,29.0331,21.5482,49.28,72,90,11.36
245,Kalmunai,LK,2022-01-25 19:02:33,7.4167,81.8167,74.43,76,88,2.28
246,Havre,FR,2022-01-25 19:02:33,49.5833,0.3333,34.34,100,100,2.3
247,San Carlos De Bariloche,AR,2022-01-25 19:02:34,-41.1456,-71.3082,83.44,25,2,8.59
248,Oriximina,BR,2022-01-25 19:02:34,-1.7656,-55.8661,83.95,69,100,2.15
249,Constitucion,CL,2022-01-25 19:02:35,-35.3333,-72.4167,68.58,67,18,9.69
250,Goulburn,AU,2022-01-25 19:00:25,-34.75,149.7167,59.16,95,91,4.12
251,Katsuura,JP,2022-01-25 19:02:36,35.1333,140.3,43.2,93,100,12.82
252,Bonthe,SL,2022-01-25 19:02:36,7.5264,-12.505,80.24,69,12,10.65
253,Nalut,LY,2022-01-25 19:02:37,30.3333,10.85,46.11,69,17,11.72
254,Silver City,US,2022-01-25 19:02:37,32.7701,-108.2803,54.66,31,0,11.99
255,Kieta,PG,2022-01-25 19:02:37,-6.2167,155.6333,79.2,86,100,3.47
256,Todos Santos,MX,2022-01-25 19:02:38,23.45,-110.2167,76.1,42,53,7.14
257,Novobirilyussy,RU,2022-01-25 19:02:31,56.9514,90.6661,8.2,96,100,4.88
258,Vieques,PR,2022-01-25 19:02:39,18.425,-65.8329,85.24,64,59,14.0
259,Sheltozero,RU,2022-01-25 19:02:39,61.3667,35.3667,14.72,97,26,5.75
260,Natal,BR,2022-01-25 19:02:40,-5.795,-35.2094,83.93,64,100,11.63
261,Arecibo,PR,2022-01-25 19:02:40,18.4724,-66.7157,85.21,68,95,5.99
262,Zyryanka,RU,2022-01-25 19:02:41,65.75,150.85,-34.11,99,98,6.73
263,Mitzic,GA,2022-01-25 19:02:41,0.7821,11.549,74.03,75,97,4.23
264,Kismayo,SO,2022-01-25 19:02:42,-0.3582,42.5454,77.5,82,9,18.88
265,Lethem,GY,2022-01-25 19:02:42,3.3803,-59.7968,95.86,34,100,13.13
266,Camacha,PT,2022-01-25 19:02:43,33.0833,-16.3333,58.42,63,20,18.41
267,Vao,NC,2022-01-25 19:02:43,-22.6667,167.4833,76.66,71,89,7.61
268,Kalamazoo,US,2022-01-25 18:58:42,42.2506,-85.55,21.54,73,100,10.36
269,Severo-Kurilsk,RU,2022-01-25 19:02:44,50.6789,156.125,20.08,64,40,6.64
270,Unecha,RU,2022-01-25 19:02:44,52.8459,32.6739,16.65,96,100,7.05
271,Finnsnes,NO,2022-01-25 19:02:45,69.2296,17.9811,28.36,85,100,12.48
272,Los Llanos De Aridane,ES,2022-01-25 19:02:45,28.6585,-17.9182,60.55,51,20,11.01
273,Turiacu,BR,2022-01-25 19:03:46,-1.6633,-45.3717,83.34,69,81,6.24
274,San Felipe,VE,2022-01-25 19:03:46,10.3399,-68.7425,82.17,61,77,9.17
275,Pimenta Bueno,BR,2022-01-25 19:03:47,-11.6725,-61.1936,89.13,57,100,2.91
276,Henties Bay,NA,2022-01-25 19:03:47,-22.116,14.2845,66.85,81,6,7.31
277,Airai,TL,2022-01-25 19:03:48,-8.9266,125.4092,61.09,86,69,2.95
278,Sola,VU,2022-01-25 19:01:16,-13.8833,167.55,80.01,83,100,15.77
279,Halifax,CA,2022-01-25 19:01:53,44.6453,-63.5724,35.35,98,100,5.01
280,Prainha,BR,2022-01-25 19:03:49,-1.8,-53.48,87.3,52,99,5.39
281,Kitgum,UG,2022-01-25 19:03:49,3.2783,32.8867,83.53,27,93,7.4
282,Nanortalik,GL,2022-01-25 19:03:50,60.1432,-45.2371,24.75,86,100,8.79
283,Touros,BR,2022-01-25 19:03:50,-5.1989,-35.4608,88.7,66,100,13.96
284,Evensk,RU,2022-01-25 19:03:51,61.95,159.2333,-9.9,84,100,7.43
285,Tongling,CN,2022-01-25 19:03:51,30.95,117.7833,40.89,92,100,6.38
286,Pontianak,ID,2022-01-25 19:03:52,-0.0333,109.3333,75.18,100,96,1.14
287,Tezu,IN,2022-01-25 19:03:53,27.9167,96.1667,58.73,62,100,2.62
288,Amuntai,ID,2022-01-25 19:03:53,-2.4177,115.2494,74.1,98,100,1.32
289,Dubovskoye,RU,2022-01-25 19:03:54,47.4092,42.7575,23.79,99,100,4.72
290,Buraydah,SA,2022-01-25 19:03:54,26.326,43.975,59.52,35,0,10.6
291,Naters,CH,2022-01-25 19:03:55,46.3254,7.9891,41.09,50,0,3.65
292,Bilma,NE,2022-01-25 19:03:56,18.6853,12.9164,61.11,19,0,11.97
