City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
536,Sinnamary,GF,5.3833,-52.95,79.86,78,30,10.16,scattered clouds
537,Pathein,MM,16.7833,94.7333,65.86,74,51,8.03,broken clouds
538,Labuhan,ID,-6.8844,112.2051,77.74,88,100,6.73,overcast clouds
539,Sibolga,ID,1.7427,98.7792,76.32,90,100,2.75,overcast clouds
540,Beira,MZ,-19.8436,34.8389,78.89,78,20,5.75,few clouds
541,Omsukchan,RU,62.5333,155.8,-20.2,100,96,5.08,overcast clouds
542,Gallup,US,35.5281,-108.7426,45.36,54,75,1.01,broken clouds
543,Standerton,ZA,-26.9337,29.2415,65.61,96,100,3.02,moderate rain
544,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,79,71,15.1,broken clouds
545,Kathu,TH,7.9178,98.3332,85.69,81,38,10.51,scattered clouds
546,Vardo,NO,70.3705,31.1107,28.38,93,75,5.75,broken clouds
547,Aasiaat,GL,68.7098,-52.8699,2.26,92,100,11.7,overcast clouds
548,Kapit,MY,2.0167,112.9333,72.59,100,100,0.6,overcast clouds
549,Ojinaga,MX,29.5667,-104.4167,70.57,39,0,3.44,clear sky
550,Dhar,IN,22.6,75.3,60.03,28,0,4.43,clear sky
551,Rioja,AR,-29.4111,-66.8507,89.35,38,0,6.71,clear sky
552,Kutum,SD,14.2,24.6667,60.03,14,0,10.51,clear sky
553,Palana,RU,59.1167,159.9667,22.5,79,100,24.07,overcast clouds
554,Hervey Bay,AU,-25.2986,152.8535,71.71,87,65,8.57,broken clouds
555,Tilichiki,RU,60.4667,166.1,23.85,79,100,15.75,overcast clouds
556,Omboue,GA,-1.5746,9.2618,79.12,81,100,4.34,overcast clouds
557,Maxixe,MZ,-23.8597,35.3472,78.62,89,20,4.61,few clouds
558,Coari,BR,-4.085,-63.1414,82.15,81,98,4.05,overcast clouds
559,Sumbe,AO,-11.2061,13.8437,78.01,86,100,6.85,overcast clouds
560,Coahuayana,MX,18.7333,-103.6833,89.08,28,0,7.11,clear sky
561,Gezing,AT,47.9178,13.1299,37.65,88,75,8.05,broken clouds
562,Sestri Levante,IT,44.2732,9.3968,55.31,82,45,1.19,scattered clouds
563,Chapais,CA,49.7834,-74.8492,2.98,82,100,9.91,overcast clouds
564,Pulawy,PL,51.4166,21.9694,38.21,96,100,15.01,light snow
565,Shingu,JP,33.7333,135.9833,36.55,76,95,7.61,overcast clouds
566,Lucapa,AO,-8.4192,20.7447,66.6,93,99,3.09,light rain
567,Yulara,AU,-25.2406,130.9889,73.24,100,100,10.36,light rain
568,Pacific Grove,US,36.6177,-121.9166,64.81,57,0,1.99,clear sky
569,Tefe,BR,-3.3542,-64.7114,87.91,66,40,6.91,scattered clouds
570,El Carmen,CO,8.5106,-73.4478,78.67,55,100,2.8,overcast clouds
571,Andilamena,MG,-17.0167,48.5833,67.05,91,91,7.38,overcast clouds
572,Salumbar,IN,24.1333,74.05,61.65,33,0,2.46,clear sky
573,Phonhong,LA,18.5007,102.4166,68.36,67,96,1.79,overcast clouds
574,Williams Lake,CA,52.1415,-122.1445,36.97,71,100,5.01,overcast clouds
575,Wawa,NG,9.9022,4.4192,81.5,16,100,5.55,overcast clouds
576,Dalbandin,PK,28.8947,64.4101,58.08,37,0,7.11,clear sky
577,Xining,CN,36.6167,101.7667,8.98,71,3,1.72,clear sky
578,Corn Island,NI,12.1694,-83.0418,80.1,69,6,15.7,clear sky
579,Pucallpa,PE,-8.3791,-74.5539,77.04,88,75,9.22,light rain
580,Kununurra,AU,-15.7667,128.7333,80.58,78,100,10.36,overcast clouds
581,Pangody,RU,65.85,74.4859,-9.49,99,89,6.82,overcast clouds
582,Kisangani,CD,0.5167,25.2,76.03,39,99,0.63,overcast clouds
583,Roebourne,AU,-20.7833,117.1333,84.65,56,40,20.0,scattered clouds
584,Deep River,CA,46.1001,-77.4995,19.44,70,100,6.11,overcast clouds
585,Motygino,RU,58.1831,94.7592,-6.66,100,98,2.24,overcast clouds
586,Ola,RU,59.5833,151.2833,2.62,79,74,12.01,broken clouds
587,Morondava,MG,-20.2833,44.2833,83.25,73,60,13.87,broken clouds
588,Angoche,MZ,-16.2325,39.9086,78.42,81,1,6.31,clear sky
589,Havelock,US,34.8791,-76.9013,44.06,36,2,8.99,clear sky
590,Tyret Pervaya,RU,53.6703,102.3106,-8.57,99,100,2.84,overcast clouds
591,Alofi,NU,-19.0595,-169.9187,75.09,94,100,3.44,overcast clouds
592,Godfrey,US,38.9556,-90.1868,39.87,54,0,5.01,clear sky
593,Sorong,ID,-0.8833,131.25,81.18,77,100,8.99,light rain
594,Port Macquarie,AU,-31.4333,152.9167,69.89,91,20,2.59,few clouds
595,Bereda,ES,43.2686,-7.5406,45.88,98,3,3.2,clear sky
596,Parichha,IN,25.5167,78.75,57.72,37,0,3.09,clear sky
597,Pereira Barreto,BR,-20.6383,-51.1092,79.03,70,78,13.11,heavy intensity rain
598,Maumere,ID,-8.6199,122.2111,79.88,85,100,10.31,overcast clouds
599,Launceston,AU,-41.45,147.1667,58.6,91,5,1.99,clear sky
